Gender,Constructed,Floor,Member,Dis,Ethinic,education,Head
Female,Tin,Earth,3,0,Bangalee,Primary ,Son
Female,Tin,Earth,7,0,Bangalee,Primary ,Husband
Male,Tin,Earth,6,0,Bangalee,Primary ,Self
Female,Tin,Earth,6,0,Bangalee,Primary ,Wife
Female,Tin,Earth,6,0,Bangalee,Primary ,Wife
Male,Tin,Earth,7,0,Bangalee,School Secondary Certificate,Father
Female,Tin,Earth,5,0,Bangalee,Primary ,Wife
Female,Tin,Earth,6,1,Bangalee,Primary ,Self
Male,Tin,Earth,5,0,Bangalee,Primary ,Self
Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,4,0,Bangalee,Primary ,Wife
Male,Tin,Earth,4,0,Bangalee,Primary ,Self
Female,Tin,Earth,3,0,Bangalee,Primary ,Wife
Female,Brick Noggin Building,Carpet,3,0,Bangalee,Primary ,Wife
Female,Tin,Earth,8,0,Bangalee,Primary ,Wife
Male,Tin,Earth,5,0,Bangalee,Primary ,Son
Male,Tin,Earth,6,1,Bangalee,Primary ,Son
Male,Wooden House (1 story) ,Earth,7,0,Bangalee,Primary ,Self
Female,Wooden House (1 story) ,Earth,6,1,Bangalee,Primary ,Father
Male,Wooden House (1 story) ,Earth,4,0,Bangalee,Primary ,Self
Male,Tin,Earth,3,0,Bangalee,Never went to school,Self
Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,5,0,Bangalee,Literate,Self
Female,Wooden House (1 story) ,Earth,6,0,Bangalee,Literate,Husband
Female,Wooden House (1 story) ,Earth,5,0,Bangalee,Literate,Husband
Female,Brick Noggin Building,Earth,3,0,Bangalee,School Secondary Certificate,Husband
Male,Brick Noggin Building,Concrete,4,0,Bangalee,Primary ,Self
Female,Brick Noggin Building,Earth,7,0,Bangalee,Primary ,Husband
Female,Brick Noggin Building,Bamboo,7,0,Bangalee,Primary ,Husband
Male,Tin,Concrete,5,0,Bangalee,Primary ,Self
Female,Tin,Earth,3,0,Bangalee,Primary ,Husband
Female,Tin,Concrete,4,0,Bangalee,School Secondary Certificate,Father in law
Male,Tin,Earth,4,0,Bangalee,School Secondary Certificate,Self
Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,2,0,Bangalee,Graduate,Self
Male,Tin,Earth,5,0,Bangalee,Primary ,Self
Male,Tin,Earth,3,0,Bangalee,Primary ,Self
Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,5,0,Bangalee,Primary ,Husband
Female,Tin,Concrete,7,0,Bangalee,Literate,Husband
Female,Tin,Earth,5,0,Bangalee,Primary ,Husband
Male,Tin,Concrete,7,0,Bangalee,Literate,Self
Male,Tin,Earth,5,0,Bangalee,Primary ,Self
Male,Tin,Earth,4,0,Bangalee,Primary ,Self
Male,Tin,Earth,8,0,Bangalee,Literate,Self
Female,Tin,Earth,7,0,Bangalee,Never went to school,Mother
Female,Wooden House (2 story) ,Concrete,5,1,Bangalee,Primary ,Husband
Male,Tin,Earth,5,0,Bangalee,Primary ,Self
Male,Tin,Earth,5,0,Bangalee,Primary ,Self
Female,Tin,Earth,6,0,Bangalee,Primary ,Wife
Male,Tin,Earth,5,1,Bangalee,Never went to school,Brother
Female,Tin,Earth,5,0,Bangalee,Primary ,Husband
Female,Tin,Earth,4,0,Bangalee,Primary ,Wife
Female,Tin,Earth,5,0,Bangalee,Never went to school,Mother
Female,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Concrete,2,0,Bangalee,Primary ,Husband
Female,Tin,Earth,4,0,Bangalee,Primary ,Husband
Female,Tin,Earth,5,0,Bangalee,Primary ,Husband
Male,Tin,Concrete,4,0,Bangalee,Never went to school,Self
Female,Concrete Building,Concrete,7,0,Bangalee,Primary ,Mother
Female,Tin,Earth,4,0,Bangalee,Never went to school,Husband
Male,Tin,Earth,5,1,Bangalee,Primary ,Self
Female,Tin,Earth,7,0,Bangalee,Literate,Mother
Female,Tin,Earth,3,0,Bangalee,Primary ,Husband
Female,Tin,Earth,6,0,Bangalee,Primary ,Husband
Male,Tin,Earth,6,0,Bangalee,Literate,Self
Female,Tin,Earth,4,0,Bangalee,Primary ,Husband
Male,Tin,Earth,4,0,Bangalee,Literate,Self
Female,Tin,Earth,5,0,Bangalee,Primary ,Wife
Male,Tin,Earth,4,0,Bangalee,Primary ,Self
Male,Tin,Earth,4,0,Bangalee,Higher Secondary Certificate,Son
Female,,Concrete,6,0,Bangalee,Primary ,Husband
Female,Tin,Earth,7,0,Bangalee,Primary ,Husband
,Tin,Earth,6,0,,Primary ,Self
Female,Concrete Building,Concrete,6,0,Bangalee,Primary ,Husband
Female,Tin,Earth,6,0,Bangalee,Primary ,Daughter in law
Female,Tin,Earth,4,0,Bangalee,Primary ,Husband
Female,Tin,,6,0,Bangalee,Literate,Husband
Female,Tin,Earth,6,0,Bangalee,Primary ,Husband
Male,Tin,Earth,3,0,Bangalee,Graduate,Self
Female,Tin,Earth,3,0,Bangalee,Literate,Self
Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,3,0,Bangalee,Literate,Self
Female,Tin,Earth,1,0,Bangalee,Literate,Self
Male,Tin,Earth,3,0,Bangalee,Literate,Self
Female,Tin,Earth,4,0,Bangalee,Primary ,Self
Male,Tin,Earth,5,0,Bangalee,Literate,Self
Female,Tin,Earth,5,0,Bangalee,Primary ,Husband
Male,Tin,Earth,2,0,Bangalee,Primary ,Self
Female,Tin,Earth,3,0,Bangalee,Literate,Self
Male,Tin,Earth,4,0,Bangalee,Primary ,Self
Female,Tin,Earth,4,0,Bangalee,Primary ,Wife
Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,3,0,Bangalee,Primary ,Husband
Female,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,2,0,Bangalee,Literate,Self
Male,Tin,Earth,4,0,Bangalee,Primary ,Self
Female,Tin,Earth,6,1,Bangalee,Primary ,Self
Male,Tin,Concrete,4,0,Bangalee,Primary ,Self
Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,4,0,Bangalee,Primary ,Husband
Female,Tin,Earth,2,0,Bangalee,Literate,Self
Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,3,0,Bangalee,Primary ,Self
Female,Tin,Earth,4,0,Bangalee,Literate,Wife
Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,4,0,Bangalee,Primary ,Wife
Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,6,0,Bangalee,Graduate,Son
Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,3,0,Bangalee,Primary ,Self
Male,Tin,Earth,4,0,Bangalee,Primary ,Self
